"","Name","Tm","Week","RushAtt","RushYds","RushTD","Target","Rec","RecYds","RecTD","FPts","FPts_G","Year"
"2","Tevin Coleman","ATL",3,12,42,3,3,3,47,0,26.9,26.9,2016
"3","Devonta Freeman","ATL",3,14,152,0,5,5,55,1,26.7,26.7,2016
"4","LeSean McCoy","BUF",3,17,110,2,4,3,6,0,23.6,23.6,2016
"5","David Johnson","ARI",3,19,83,2,6,3,28,0,23.1,23.1,2016
"6","Christine Michael","SEA",3,20,106,2,3,2,5,0,23.1,23.1,2016
"7","LeGarrette Blount","NE",3,24,105,2,0,0,0,0,22.5,22.5,2016
"8","Carlos Hyde","SF",3,21,103,2,1,1,2,0,22.5,22.5,2016
"9","Jeremy Hill","CIN",3,17,97,2,0,0,0,0,21.7,21.7,2016
"10","DeMarco Murray","TEN",3,16,114,1,5,5,41,0,21.5,21.5,2016
"11","Todd Gurley","LAR",3,27,85,2,2,1,-5,0,20,20,2016
"12","Darren Sproles","PHI",3,2,-1,0,6,6,128,1,18.7,18.7,2016
"13","Charles Sims","TB",3,13,55,1,8,6,69,0,18.4,18.4,2016
"14","Mark Ingram","NO",3,15,77,0,6,4,30,1,16.7,16.7,2016
"15","Ezekiel Elliott","DAL",3,30,140,0,2,2,20,0,16,16,2016
"16","Shane Vereen","NYG",3,11,67,1,5,2,28,0,15.5,15.5,2016
"17","Frank Gore","IND",3,21,82,1,3,1,1,0,14.3,14.3,2016
"18","Wendell Smallwood","PHI",3,17,79,1,0,0,0,0,13.9,13.9,2016
"19","Melvin Gordon","SD",3,16,35,1,7,4,43,0,13.8,13.8,2016
"20","Orleans Darkwa","NYG",3,10,53,1,1,1,9,0,12.2,12.2,2016
"21","Lamar Miller","HOU",3,21,80,0,5,4,27,0,10.7,10.7,2016
"22","Eddie Lacy","GB",3,17,103,0,2,1,2,0,10.5,10.5,2016
"23","Kenjon Barner","PHI",3,8,42,1,0,0,0,0,10.2,10.2,2016
"24","Latavius Murray","OAK",3,10,37,1,1,1,1,0,9.8,9.8,2016
"25","Jordan Howard","CHI",3,9,45,0,6,4,47,0,9.2,9.2,2016
"26","Jay Ajayi","MIA",3,7,28,1,0,0,0,0,8.8,8.8,2016
"27","Damien Williams","MIA",3,1,15,0,3,3,10,1,8.5,8.5,2016
"28","Spencer Ware","KC",3,20,75,0,1,1,8,0,8.3,8.3,2016
"29","Duke Johnson","CLE",3,10,69,0,7,5,12,0,8.1,8.1,2016
"30","Alfred Morris","DAL",3,5,19,1,1,1,2,0,8.1,8.1,2016
"31","Isaiah Crowell","CLE",3,15,79,0,1,0,0,0,7.9,7.9,2016
"32","Matt Jones","WAS",3,17,65,0,2,2,14,0,7.9,7.9,2016
"33","Bilal Powell","NYJ",3,4,30,0,7,6,41,0,7.1,7.1,2016
"34","Robert Turbin","IND",3,4,9,1,0,0,0,0,6.9,6.9,2016
"35","Matt Forte","NYJ",3,15,65,0,4,2,-1,0,6.4,6.4,2016
"36","John Kuhn","NO",3,1,3,1,0,0,0,0,6.3,6.3,2016
"37","DeAndre Washington","OAK",3,6,57,0,1,1,5,0,6.2,6.2,2016
"38","Lance Dunbar","DAL",3,1,1,1,0,0,0,0,6.1,6.1,2016
"39","Cameron ArtisPayne","CAR",3,12,47,0,1,1,11,0,5.8,5.8,2016
"40","Fozzy Whittaker","CAR",3,5,22,0,6,5,34,0,5.6,5.6,2016
"41","Terrance West","BAL",3,10,45,0,1,1,8,0,5.3,5.3,2016
"42","Kenyan Drake","MIA",3,9,37,0,2,2,11,0,4.8,4.8,2016
"43","Theo Riddick","DET",3,10,9,0,9,7,39,0,4.8,4.8,2016
"44","Jerick McKinnon","MIN",3,16,45,0,2,1,2,0,4.7,4.7,2016
"45","Jeremy Langford","CHI",3,3,31,0,3,2,15,0,4.6,4.6,2016
"46","Derrick Henry","TEN",3,10,45,0,0,0,0,0,4.5,4.5,2016
"47","Giovani Bernard","CIN",3,5,8,0,5,5,36,0,4.4,4.4,2016
"48","DeAngelo Williams","PIT",3,8,21,0,7,4,23,0,4.4,4.4,2016
"49","CJ Anderson","DEN",3,14,37,0,4,1,4,0,4.1,4.1,2016
"50","Jalen Richard","OAK",3,6,28,0,1,1,13,0,4.1,4.1,2016
"51","Benny Cunningham","LAR",3,2,29,0,1,1,10,0,3.9,3.9,2016
"210","Dwayne Washington","DET",3,10,38,0,1,1,-3,0,3.5,3.5,2016
"310","Travaris Cadet","NO",3,0,0,0,6,6,32,0,3.2,3.2,2016
"410","Justin Forsett","BAL",3,7,20,0,7,6,12,0,3.2,3.2,2016
"52","Alex Collins","SEA",3,4,12,0,2,2,19,0,3.1,3.1,2016
"61","Josh Ferguson","IND",3,1,2,0,4,3,29,0,3.1,3.1,2016
"71","TJ Yeldon","JAC",3,6,17,0,3,2,11,0,2.8,2.8,2016
"81","Devontae Booker","DEN",3,4,8,0,1,1,17,0,2.5,2.5,2016
"91","Bobby Rainey","NYG",3,0,0,0,2,1,24,0,2.4,2.4,2016
"101","Chris Ivory","JAC",3,12,14,0,1,1,9,0,2.3,2.3,2016
"111","Jacquizz Rodgers","TB",3,5,15,0,1,1,8,0,2.3,2.3,2016
"121","Mike Gillislee","BUF",3,3,20,0,0,0,0,0,2,2,2016
"131","Matt Asiata","MIN",3,6,15,0,1,1,4,0,1.9,1.9,2016
"141","Jonathan Grimes","HOU",3,3,4,0,4,4,15,0,1.9,1.9,2016
"151","Tim Hightower","NO",3,3,19,0,0,0,0,0,1.9,1.9,2016
"161","Mike Tolbert","CAR",3,2,5,0,3,2,14,0,1.9,1.9,2016
"171","Isaiah Pead","MIA",3,5,17,0,0,0,0,0,1.7,1.7,2016
"181","Chris Thompson","WAS",3,6,23,0,2,1,-7,0,1.6,1.6,2016
"191","Andy Janovich","DEN",3,1,2,0,1,1,13,0,1.5,1.5,2016
"201","Jalston Fowler","TEN",3,0,0,0,1,1,14,0,1.4,1.4,2016
"211","James White","NE",3,3,12,0,2,1,2,0,1.4,1.4,2016
"221","Alfred Blue","HOU",3,2,12,0,0,0,0,0,1.2,1.2,2016
"231","Shaun Draughn","SF",3,5,10,0,2,1,2,0,1.2,1.2,2016
"241","Terrence Magee","SEA",3,3,12,0,0,0,0,0,1.2,1.2,2016
"251","Charcandrick West","KC",3,3,3,0,3,3,8,0,1.1,1.1,2016
"261","Dexter McCluster","SD",3,0,0,0,3,2,9,0,0.9,0.9,2016
"271","James Starks","GB",3,1,-1,0,2,1,9,0,0.8,0.8,2016
"281","Rob Kelley","WAS",3,4,7,0,0,0,0,0,0.7,0.7,2016
"291","Derek Watt","SD",3,0,0,0,1,1,6,0,0.6,0.6,2016
"301","Chris Johnson","ARI",3,2,5,0,0,0,0,0,0.5,0.5,2016
"311","Anthony Sherman","KC",3,0,0,0,1,1,3,0,0.3,0.3,2016
"321","Kyle Juszczyk","BAL",3,0,0,0,1,1,2,0,0.2,0.2,2016
"331","Jonathan Williams","BUF",3,3,2,0,0,0,0,0,0.2,0.2,2016
"341","Daryl Richardson","PIT",3,1,1,0,0,0,0,0,0.1,0.1,2016
"351","Tyler Ervin","HOU",3,0,0,0,0,0,0,0,0,0,2016
"361","Jamize Olawale","OAK",3,1,0,0,1,0,0,0,0,0,2016
"371","Ryan Mathews","PHI",3,2,-5,0,0,0,0,0,-0.5,-0.5,2016
