Team,1st Downs,RushAtt,RushYDs,RushTDs,PassComp,PassAtt,PassYds,PassTDs,INT,Sacked,SackedYDs,NetPassYDs,TotalYDs,Fumbles,FumblesLost,TotalTurnovers,Penalties,PenaltyYDs,3rdMade,3rdAtt,4thMade,4thAtt,TOP,Q1pts,Q2pts,Q3pts,Q4pts,OTpts,URL
DAL,14,25,121,0,13,31,186,0,1,0,0,186,307,1,1,2,8,65,7,14,0,0,28:30:00,3,3,0,0,null,http://www.pro-football-reference.com/boxscores/201512270buf.htm
BUF,19,40,236,2,13,18,179,0,1,3,7,172,408,1,1,2,7,62,6,14,0,1,31:30:00,6,0,3,7,null,http://www.pro-football-reference.com/boxscores/201512270buf.htm
DAL,11,20,171,1,13,29,114,0,1,2,15,99,270,0,0,1,6,30,1,11,0,2,22:12,0,0,7,0,null,http://www.pro-football-reference.com/boxscores/201512130gnb.htm
GNB,29,44,230,2,22,35,218,2,0,2,13,205,435,1,0,0,8,69,7,14,0,1,37:48:00,0,14,0,14,null,http://www.pro-football-reference.com/boxscores/201512130gnb.htm
DAL,22,38,166,0,18,28,227,2,2,2,7,220,386,0,0,2,10,79,7,14,1,2,38:50:00,0,14,0,10,null,http://www.pro-football-reference.com/boxscores/201511220mia.htm
MIA,9,14,70,0,13,24,188,2,1,3,48,140,210,1,0,1,9,74,1,10,0,1,21:10,0,7,7,0,null,http://www.pro-football-reference.com/boxscores/201511220mia.htm
DAL,21,28,115,1,16,26,246,1,0,3,26,220,335,0,0,0,6,30,3,12,1,1,29:20:00,3,7,3,7,0,http://www.pro-football-reference.com/boxscores/201510040nor.htm
NOR,27,25,103,1,33,41,359,2,0,3,24,335,438,0,0,0,8,64,6,13,1,1,30:53:00,7,0,6,7,6,http://www.pro-football-reference.com/boxscores/201510040nor.htm
DAL,27,41,233,1,17,27,227,1,3,1,0,227,460,1,1,4,7,46,6,11,0,1,38:04:00,3,10,0,7,null,http://www.pro-football-reference.com/boxscores/201510250nyg.htm
NYG,13,25,132,1,13,24,170,0,0,2,13,157,289,0,0,0,3,13,3,11,0,0,21:56,0,10,10,7,null,http://www.pro-football-reference.com/boxscores/201510250nyg.htm
DAL,21,33,109,0,25,34,268,1,0,3,18,250,359,2,2,2,18,142,4,12,0,0,40:30:00,3,3,7,7,null,http://www.pro-football-reference.com/boxscores/201509200phi.htm
PHI,17,17,7,0,23,37,224,1,2,1,5,219,226,1,1,3,8,60,2,11,1,1,19:30,0,0,0,10,null,http://www.pro-football-reference.com/boxscores/201509200phi.htm
DAL,12,21,42,0,19,30,186,0,1,3,12,174,216,1,0,1,6,68,4,13,0,0,30:04:00,3,3,0,0,null,http://www.pro-football-reference.com/boxscores/201511150tam.htm
TAM,23,25,81,1,22,39,264,0,2,2,18,246,327,1,0,2,7,62,4,11,0,0,29:56:00,0,3,0,7,null,http://www.pro-football-reference.com/boxscores/201511150tam.htm
DAL,16,24,97,1,16,29,223,0,0,1,2,221,318,4,3,3,8,70,1,9,0,0,27:13:00,0,3,3,13,null,http://www.pro-football-reference.com/boxscores/201512070was.htm
WAS,15,26,73,0,22,31,219,1,0,3,26,193,266,2,1,1,9,73,6,16,0,0,32:47:00,0,3,3,10,null,http://www.pro-football-reference.com/boxscores/201512070was.htm
DEN,21,36,170,0,20,27,250,2,0,5,31,219,389,0,0,0,8,118,6,14,0,1,33:13:00,7,3,0,7,null,http://www.pro-football-reference.com/boxscores/201511220chi.htm
CHI,19,25,86,1,18,32,265,0,1,2,4,261,347,1,1,2,0,0,4,12,0,1,26:47:00,0,6,3,6,null,http://www.pro-football-reference.com/boxscores/201511220chi.htm
DEN,21,33,152,0,26,48,290,1,3,0,0,290,442,1,0,3,8,81,4,18,1,1,36:44:00,3,7,3,10,3,http://www.pro-football-reference.com/boxscores/201510180cle.htm
CLE,20,33,109,0,20,39,213,2,2,4,24,189,298,1,1,3,6,30,6,15,0,1,33:20:00,0,0,7,16,0,http://www.pro-football-reference.com/boxscores/201510180cle.htm
DEN,19,19,41,1,31,42,324,2,1,1,11,313,354,1,1,2,9,94,4,12,1,1,28:52:00,0,14,0,10,null,http://www.pro-football-reference.com/boxscores/201509270det.htm
DET,22,19,28,1,31,45,282,1,2,4,20,262,290,1,1,3,9,75,4,12,0,1,31:08:00,0,6,6,0,null,http://www.pro-football-reference.com/boxscores/201509270det.htm
DEN,16,14,35,0,21,36,281,2,2,1,7,274,309,0,0,2,8,56,6,12,0,0,21:21,0,7,10,7,null,http://www.pro-football-reference.com/boxscores/201511080clt.htm
IND,27,40,120,1,21,36,252,2,0,1,7,245,365,0,0,0,4,30,12,20,0,0,38:39:00,7,10,0,10,null,http://www.pro-football-reference.com/boxscores/201511080clt.htm
DEN,21,22,61,0,26,45,256,3,1,3,18,238,299,0,0,1,8,85,6,16,0,1,31:01:00,0,14,3,14,null,http://www.pro-football-reference.com/boxscores/201509170kan.htm
KAN,20,28,147,2,16,25,191,0,2,5,24,167,314,3,3,5,9,60,0,7,0,0,28:59:00,0,14,3,7,null,http://www.pro-football-reference.com/boxscores/201509170kan.htm
DEN,15,18,43,0,22,35,266,0,2,2,12,254,297,0,0,2,6,103,2,13,0,0,25:51:00,0,3,6,7,null,http://www.pro-football-reference.com/boxscores/201510110rai.htm
OAK,20,25,65,0,26,39,249,1,1,4,26,223,288,3,2,3,6,41,7,16,1,2,34:09:00,0,7,0,3,null,http://www.pro-football-reference.com/boxscores/201510110rai.htm
DEN,20,25,104,1,21,44,296,3,1,2,15,281,385,3,1,2,12,127,9,17,0,2,28:44:00,14,13,0,0,null,http://www.pro-football-reference.com/boxscores/201512200pit.htm
PIT,28,17,23,1,40,55,380,3,2,3,26,354,377,0,0,2,9,63,7,15,0,0,31:16:00,7,6,7,14,null,http://www.pro-football-reference.com/boxscores/201512200pit.htm
DEN,19,39,134,0,16,26,166,1,1,1,7,159,293,0,0,1,3,18,6,13,0,0,32:57:00,14,3,0,0,null,http://www.pro-football-reference.com/boxscores/201512060sdg.htm
SDG,15,23,93,0,18,35,202,0,1,4,23,179,272,4,2,3,8,72,5,14,0,2,27:03:00,0,3,0,0,null,http://www.pro-football-reference.com/boxscores/201512060sdg.htm
DET,22,21,67,0,28,39,298,3,0,4,16,282,349,0,0,0,4,21,4,10,0,1,32:30:00,7,3,7,7,null,http://www.pro-football-reference.com/boxscores/201601030chi.htm
CHI,16,24,111,0,17,23,245,2,3,4,11,234,345,0,0,3,1,15,7,12,0,0,27:30:00,0,0,10,10,null,http://www.pro-football-reference.com/boxscores/201601030chi.htm
DET,16,26,45,0,24,38,242,2,1,0,0,242,287,1,0,1,3,35,5,16,1,1,30:40:00,0,3,6,9,null,http://www.pro-football-reference.com/boxscores/201511150gnb.htm
GNB,22,18,47,0,35,61,333,2,0,3,8,325,372,1,0,0,5,55,9,19,0,0,29:20:00,3,0,0,13,null,http://www.pro-football-reference.com/boxscores/201511150gnb.htm
DET,16,14,81,0,23,38,227,1,2,6,32,195,276,0,0,2,8,81,2,12,1,2,25:46:00,3,0,0,7,null,http://www.pro-football-reference.com/boxscores/201511010kan.htm
KAN,24,32,206,4,20,28,149,2,0,3,15,134,340,0,0,0,3,20,8,13,0,0,34:14:00,7,17,7,14,null,http://www.pro-football-reference.com/boxscores/201511010kan.htm
DET,25,16,38,0,32,53,286,2,1,1,1,285,323,2,2,3,6,39,6,13,2,2,28:54:00,0,10,0,6,null,http://www.pro-football-reference.com/boxscores/201509200min.htm
MIN,20,42,199,2,14,18,153,1,0,1,2,151,350,2,1,1,10,97,7,14,1,1,31:06:00,7,10,6,3,null,http://www.pro-football-reference.com/boxscores/201509200min.htm
DET,24,23,150,2,22,25,254,3,0,3,8,246,396,2,1,1,10,92,4,8,0,0,29:36:00,7,14,7,7,null,http://www.pro-football-reference.com/boxscores/201512210nor.htm
NOR,27,18,69,0,34,52,341,3,0,1,11,330,399,1,0,0,6,28,5,14,2,2,30:24:00,3,0,7,17,null,http://www.pro-football-reference.com/boxscores/201512210nor.htm
DET,16,16,69,1,19,30,246,2,2,1,13,233,302,1,0,2,4,29,3,10,0,0,21:48,7,14,0,7,null,http://www.pro-football-reference.com/boxscores/201509130sdg.htm
SDG,28,31,96,2,34,41,403,2,2,2,16,387,483,2,1,3,5,40,6,11,0,0,38:12:00,3,7,10,13,null,http://www.pro-football-reference.com/boxscores/201509130sdg.htm
DET,12,18,53,0,24,35,203,0,0,0,0,203,256,2,1,1,4,37,3,13,0,0,27:56:00,0,3,0,7,null,http://www.pro-football-reference.com/boxscores/201510050sea.htm
SEA,18,31,110,0,20,26,287,1,0,6,52,235,345,5,3,3,5,30,6,13,0,0,32:04:00,0,10,3,0,null,http://www.pro-football-reference.com/boxscores/201510050sea.htm
DET,22,20,111,0,30,46,245,2,1,4,25,220,331,1,0,1,5,45,5,13,0,1,33:50:00,0,0,7,7,null,http://www.pro-football-reference.com/boxscores/201512130ram.htm
STL,15,29,203,2,14,22,124,0,1,1,10,114,317,2,1,2,5,48,4,11,0,0,26:10:00,0,7,7,7,null,http://www.pro-football-reference.com/boxscores/201512130ram.htm
GNB,16,26,101,0,16,29,155,1,1,9,78,77,178,5,3,4,7,59,5,17,2,3,29:44:00,0,0,8,0,null,http://www.pro-football-reference.com/boxscores/201512270crd.htm
ARI,19,26,121,1,19,28,269,2,1,2,9,260,381,2,1,2,10,119,5,10,0,0,30:16:00,0,17,21,0,null,http://www.pro-football-reference.com/boxscores/201512270crd.htm
GNB,18,22,135,0,24,44,261,2,1,1,10,251,386,0,0,1,8,55,7,15,1,2,30:14:00,0,6,7,7,0,http://www.pro-football-reference.com/boxscores/201601160crd.htm
ARI,20,19,40,0,25,41,349,3,2,3,21,328,368,1,0,2,3,26,5,13,1,1,30:51:00,7,0,3,10,6,http://www.pro-football-reference.com/boxscores/201601160crd.htm
GNB,21,19,71,0,25,48,369,4,1,5,38,331,402,2,1,2,7,87,3,14,2,3,27:48:00,7,0,7,15,null,http://www.pro-football-reference.com/boxscores/201511080car.htm
CAR,20,36,130,1,15,30,297,3,1,0,0,297,427,0,0,1,6,45,5,15,0,0,32:12:00,3,24,3,7,null,http://www.pro-football-reference.com/boxscores/201511080car.htm
GNB,21,30,133,1,18,23,189,3,0,0,0,189,322,0,0,0,10,74,6,10,1,1,28:08:00,7,3,7,14,null,http://www.pro-football-reference.com/boxscores/201509130chi.htm
CHI,25,33,189,1,18,36,225,1,1,2,12,213,402,0,0,1,6,64,11,17,2,3,31:52:00,3,10,3,7,null,http://www.pro-football-reference.com/boxscores/201509130chi.htm
GNB,14,21,90,1,14,22,77,0,0,3,27,50,140,3,0,0,2,15,2,8,0,0,26:33:00,0,7,3,0,null,http://www.pro-football-reference.com/boxscores/201511010den.htm
DEN,24,34,160,3,21,29,340,0,1,0,0,340,500,0,0,1,11,93,6,12,0,0,33:27:00,7,10,7,5,null,http://www.pro-football-reference.com/boxscores/201511010den.htm
GNB,19,24,67,1,24,36,273,2,1,3,27,246,313,3,0,1,7,55,3,12,1,1,26:56:00,0,0,14,13,null,http://www.pro-football-reference.com/boxscores/201512030det.htm
DET,17,25,101,0,23,35,220,2,0,3,15,205,306,1,1,1,9,108,6,16,1,1,33:04:00,17,0,3,3,null,http://www.pro-football-reference.com/boxscores/201512030det.htm
GNB,19,34,124,0,16,34,212,2,0,2,16,196,320,0,0,0,4,19,6,16,0,0,30:22:00,6,10,3,11,null,http://www.pro-football-reference.com/boxscores/201511220min.htm
MIN,16,18,94,1,25,38,296,1,0,6,48,248,342,1,1,1,8,110,5,13,0,2,29:38:00,6,0,7,0,null,http://www.pro-football-reference.com/boxscores/201511220min.htm
GNB,18,28,103,1,22,39,204,1,1,2,14,190,293,1,1,2,6,75,4,13,0,0,29:29:00,14,0,10,6,null,http://www.pro-football-reference.com/boxscores/201512200rai.htm
OAK,20,25,120,0,23,47,276,2,2,3,24,252,372,0,0,2,10,95,5,17,1,4,30:31:00,0,13,7,0,null,http://www.pro-football-reference.com/boxscores/201512200rai.htm
GNB,18,33,162,1,22,32,224,1,0,3,24,200,362,0,0,0,8,65,5,15,2,2,36:34:00,7,0,10,0,null,http://www.pro-football-reference.com/boxscores/201510040sfo.htm
SFO,8,19,77,0,13,25,160,0,1,6,41,119,196,3,0,1,4,30,4,13,0,1,23:26,0,3,0,0,null,http://www.pro-football-reference.com/boxscores/201510040sfo.htm
GNB,24,32,141,2,21,36,210,2,0,1,5,205,346,1,1,1,3,23,3,11,1,1,29:33:00,0,17,7,11,null,http://www.pro-football-reference.com/boxscores/201601100was.htm
WAS,20,18,84,1,29,46,329,1,0,6,59,270,354,3,1,1,7,55,5,15,1,4,30:27:00,5,6,7,0,null,http://www.pro-football-reference.com/boxscores/201601100was.htm
HOU,24,17,54,1,29,57,382,2,1,1,8,374,428,3,3,4,5,35,7,15,0,2,24:08:00,0,0,0,21,null,http://www.pro-football-reference.com/boxscores/201510040atl.htm
ATL,22,35,135,4,19,27,256,1,0,2,13,243,378,0,0,0,10,80,9,16,1,1,35:52:00,7,21,14,6,null,http://www.pro-football-reference.com/boxscores/201510040atl.htm
HOU,21,26,126,0,26,43,293,3,1,2,18,275,401,0,0,1,10,89,7,15,0,1,31:53:00,6,7,0,8,null,http://www.pro-football-reference.com/boxscores/201512060buf.htm
BUF,15,36,187,1,11,21,211,3,0,1,8,203,390,0,0,0,5,42,8,16,0,0,28:07:00,7,14,0,9,null,http://www.pro-football-reference.com/boxscores/201512060buf.htm
HOU,21,23,61,1,27,58,244,1,1,1,5,239,300,1,0,1,10,70,5,19,2,4,27:31:00,3,0,7,7,null,http://www.pro-football-reference.com/boxscores/201509200car.htm
CAR,25,33,172,1,18,37,195,2,1,2,17,178,350,0,0,1,10,92,4,13,0,0,32:29:00,0,10,7,7,null,http://www.pro-football-reference.com/boxscores/201509200car.htm
HOU,16,25,82,0,17,33,192,1,1,3,18,174,256,0,0,1,5,54,5,15,0,1,28:34:00,0,3,0,7,null,http://www.pro-football-reference.com/boxscores/201511160cin.htm
CIN,16,20,74,0,22,38,197,0,1,4,15,182,256,2,1,2,9,70,4,14,0,1,31:26:00,3,3,0,0,null,http://www.pro-football-reference.com/boxscores/201511160cin.htm
HOU,20,37,155,0,17,28,173,1,1,3,23,150,305,2,1,2,6,48,5,15,2,2,33:56:00,0,3,3,10,null,http://www.pro-football-reference.com/boxscores/201512200clt.htm
IND,14,19,50,0,18,32,160,1,1,3,20,140,190,1,1,2,8,94,4,13,0,0,26:04:00,0,10,0,0,null,http://www.pro-football-reference.com/boxscores/201512200clt.htm
HOU,24,31,95,0,24,36,293,3,0,1,6,287,382,1,0,0,10,69,7,14,1,2,30:02:00,7,3,0,21,null,http://www.pro-football-reference.com/boxscores/201510180jax.htm
JAX,26,21,83,0,30,53,331,3,3,3,20,311,394,1,0,3,7,64,5,15,2,2,29:58:00,0,7,7,6,null,http://www.pro-football-reference.com/boxscores/201510180jax.htm
HOU,24,25,71,1,23,49,273,3,1,4,22,251,322,3,0,1,3,25,6,15,0,1,27:55:00,0,0,13,13,null,http://www.pro-football-reference.com/boxscores/201510250mia.htm
MIA,21,35,248,1,19,20,296,4,0,4,41,255,503,1,1,1,8,52,1,9,0,0,32:05:00,21,20,0,3,null,http://www.pro-football-reference.com/boxscores/201510250mia.htm
HOU,19,42,128,1,16,26,207,2,0,1,5,202,330,1,1,1,4,28,7,16,0,0,36:13:00,10,7,17,0,null,http://www.pro-football-reference.com/boxscores/201512270oti.htm
TEN,13,11,30,0,27,51,234,1,1,1,7,227,257,3,3,4,4,43,4,16,1,1,23:47,0,0,0,6,null,http://www.pro-football-reference.com/boxscores/201512270oti.htm
IND,17,27,74,0,23,32,213,2,2,2,11,202,276,1,1,3,7,42,7,14,0,0,32:39:00,0,7,7,10,null,http://www.pro-football-reference.com/boxscores/201511220atl.htm
ATL,21,24,100,0,25,46,280,3,3,1,5,275,375,1,1,4,6,69,8,16,0,1,27:21:00,7,7,7,0,null,http://www.pro-football-reference.com/boxscores/201511220atl.htm
IND,23,17,64,0,26,49,243,2,2,2,3,240,304,2,1,3,5,49,8,15,1,2,29:04:00,0,0,8,6,null,http://www.pro-football-reference.com/boxscores/201509130buf.htm
BUF,15,36,147,2,14,19,195,1,0,0,0,195,342,2,0,0,11,113,5,13,0,0,30:56:00,7,10,7,3,null,http://www.pro-football-reference.com/boxscores/201509130buf.htm
IND,19,35,136,0,23,47,231,2,3,2,8,223,359,3,1,4,2,15,6,18,1,1,35:58:00,0,6,0,17,3,http://www.pro-football-reference.com/boxscores/201511020car.htm
CAR,17,36,140,1,16,35,248,2,1,2,9,239,379,2,2,3,6,55,4,16,2,2,33:40:00,10,0,7,6,6,http://www.pro-football-reference.com/boxscores/201511020car.htm
IND,22,30,110,1,18,29,213,2,0,0,0,213,323,0,0,0,7,65,3,11,1,1,27:33:00,10,3,7,7,null,http://www.pro-football-reference.com/boxscores/201510080htx.htm
HOU,24,28,82,0,31,41,362,2,2,1,0,362,444,0,0,2,13,125,8,16,1,1,32:27:00,0,10,7,3,null,http://www.pro-football-reference.com/boxscores/201510080htx.htm
IND,17,23,95,0,20,43,260,0,1,3,33,227,322,1,1,2,8,85,4,16,1,2,30:48:00,3,10,3,0,null,http://www.pro-football-reference.com/boxscores/201512130jax.htm
JAX,24,29,154,2,16,30,250,3,0,3,24,226,380,3,2,2,5,40,2,9,1,1,29:12:00,3,6,21,21,null,http://www.pro-football-reference.com/boxscores/201512130jax.htm
IND,20,23,100,2,17,29,177,0,0,2,9,168,268,0,0,0,6,60,6,12,0,0,27:11:00,8,7,0,3,null,http://www.pro-football-reference.com/boxscores/201512270mia.htm
MIA,22,25,82,1,26,38,329,0,1,6,50,279,361,0,0,1,9,50,6,15,0,1,32:49:00,0,6,3,3,null,http://www.pro-football-reference.com/boxscores/201512270mia.htm
IND,11,18,54,0,20,34,220,1,2,5,34,186,240,1,1,3,5,30,3,14,1,3,27:10:00,3,7,0,0,null,http://www.pro-football-reference.com/boxscores/201512060pit.htm
PIT,24,32,158,0,24,39,364,4,0,0,0,364,522,4,2,2,4,48,8,13,0,0,32:50:00,6,15,7,17,null,http://www.pro-football-reference.com/boxscores/201512060pit.htm
IND,20,23,133,2,18,30,260,2,2,3,15,245,378,1,0,2,11,71,4,11,1,1,25:01:00,7,7,0,21,null,http://www.pro-football-reference.com/boxscores/201509270oti.htm
TEN,28,27,88,2,27,44,367,2,2,3,22,345,433,0,0,2,6,55,4,13,1,1,34:59:00,0,10,17,6,null,http://www.pro-football-reference.com/boxscores/201509270oti.htm
JAX,22,22,90,0,22,45,188,2,1,3,20,168,258,0,0,1,4,30,4,16,0,0,30:32:00,7,3,3,9,null,http://www.pro-football-reference.com/boxscores/201511150rav.htm
BAL,22,21,89,0,34,45,316,3,2,1,8,308,397,2,2,4,9,121,8,14,0,1,29:28:00,0,14,0,6,null,http://www.pro-football-reference.com/boxscores/201511150rav.htm
JAX,11,14,32,0,17,32,239,0,2,8,56,183,215,3,2,4,7,53,1,12,1,2,24:23:00,0,3,3,0,null,http://www.pro-football-reference.com/boxscores/201601030htx.htm
HOU,25,31,160,1,25,41,249,1,1,2,7,242,402,1,0,1,9,55,8,17,0,1,35:37:00,3,17,0,10,null,http://www.pro-football-reference.com/boxscores/201601030htx.htm
JAX,21,28,142,0,28,50,298,1,0,1,9,289,431,3,0,0,13,92,7,18,0,0,36:10:00,3,10,0,0,0,http://www.pro-football-reference.com/boxscores/201510040clt.htm
IND,22,24,60,0,30,47,282,1,0,3,16,266,326,3,2,2,4,45,7,15,0,0,34:14:00,3,7,0,3,3,http://www.pro-football-reference.com/boxscores/201510040clt.htm
JAX,21,15,65,0,27,35,368,4,2,2,21,347,412,3,0,2,8,55,6,9,0,0,22:07,0,6,13,8,null,http://www.pro-football-reference.com/boxscores/201512270nor.htm
NOR,29,35,135,2,25,36,412,3,0,1,10,402,537,0,0,0,5,40,8,13,1,1,37:53:00,14,10,7,7,null,http://www.pro-football-reference.com/boxscores/201512270nor.htm
JAX,15,20,57,0,17,33,242,2,1,2,6,236,293,1,0,1,7,114,6,12,0,1,25:20:00,0,3,7,7,null,http://www.pro-football-reference.com/boxscores/201509270nwe.htm
NWE,35,32,125,4,33,42,358,2,0,2,12,346,471,0,0,0,4,30,11,14,0,0,34:40:00,10,10,17,14,null,http://www.pro-football-reference.com/boxscores/201509270nwe.htm
JAX,19,19,98,0,24,40,381,2,2,6,43,338,436,3,2,4,4,30,7,16,0,0,29:16:00,3,7,3,10,null,http://www.pro-football-reference.com/boxscores/201511080nyj.htm
NYJ,14,28,29,2,21,34,272,2,0,2,11,261,290,1,0,0,6,41,5,15,1,1,30:44:00,14,0,7,7,null,http://www.pro-football-reference.com/boxscores/201511080nyj.htm
JAX,21,17,55,0,23,33,303,4,1,6,33,270,325,1,1,2,3,12,2,8,1,1,25:19:00,0,14,10,7,null,http://www.pro-football-reference.com/boxscores/201510110tam.htm
TAM,20,40,183,2,13,19,209,1,0,2,23,186,369,0,0,0,10,72,5,11,0,0,34:41:00,3,17,11,7,null,http://www.pro-football-reference.com/boxscores/201510110tam.htm
JAX,20,21,81,1,24,36,322,5,0,2,20,302,383,1,1,1,6,21,10,14,0,1,26:26:00,0,12,7,20,null,http://www.pro-football-reference.com/boxscores/201512060oti.htm
TEN,26,35,210,2,20,29,268,3,1,4,11,257,467,1,1,2,4,38,8,13,0,0,33:34:00,7,14,0,21,null,http://www.pro-football-reference.com/boxscores/201512060oti.htm
KAN,15,28,113,1,21,25,171,1,0,3,7,164,277,1,0,0,6,55,5,13,0,0,32:19:00,14,10,0,10,null,http://www.pro-football-reference.com/boxscores/201512200rav.htm
BAL,19,20,93,0,26,45,281,2,2,2,8,273,366,1,1,3,7,63,4,13,1,3,27:41:00,7,7,0,0,null,http://www.pro-football-reference.com/boxscores/201512200rav.htm
KAN,24,23,113,0,31,45,386,0,0,5,38,348,461,1,1,1,7,46,7,16,0,0,36:53:00,3,9,3,6,null,http://www.pro-football-reference.com/boxscores/201510040cin.htm
CIN,18,26,124,4,17,24,321,1,0,0,0,321,445,1,0,0,11,84,6,10,0,0,23:07,14,0,15,7,null,http://www.pro-football-reference.com/boxscores/201510040cin.htm
KAN,13,32,106,1,17,31,204,1,0,2,7,197,303,0,0,0,11,102,4,16,1,1,33:27:00,10,9,3,7,null,http://www.pro-football-reference.com/boxscores/201511150den.htm
DEN,18,16,69,1,19,44,181,1,5,5,29,152,221,1,0,5,5,55,3,14,2,3,26:33:00,0,0,0,13,null,http://www.pro-football-reference.com/boxscores/201511150den.htm
KAN,23,18,75,3,24,40,290,1,1,7,39,251,326,2,0,1,7,38,2,10,2,2,26:30:00,0,7,7,14,null,http://www.pro-football-reference.com/boxscores/201509280gnb.htm
GNB,26,32,123,0,24,35,333,5,0,1,8,325,448,0,0,0,12,89,4,11,0,1,33:30:00,14,10,7,7,null,http://www.pro-football-reference.com/boxscores/201509280gnb.htm
KAN,19,32,97,0,22,33,243,3,0,2,10,233,330,1,0,0,2,25,3,13,0,0,35:19:00,14,13,0,0,null,http://www.pro-football-reference.com/boxscores/201509130htx.htm
HOU,24,21,98,0,26,47,334,2,1,5,36,298,396,2,1,2,6,39,3,14,0,1,24:41:00,6,3,0,11,null,http://www.pro-football-reference.com/boxscores/201509130htx.htm
KAN,18,37,141,1,17,22,190,1,1,3,17,173,314,0,0,1,5,52,4,11,0,0,34:25:00,7,6,7,10,null,http://www.pro-football-reference.com/boxscores/201601090htx.htm
HOU,14,25,114,0,15,34,136,0,4,3,24,112,226,2,1,5,4,29,6,14,0,1,25:35:00,0,0,0,0,null,http://www.pro-football-reference.com/boxscores/201601090htx.htm
KAN,16,18,57,0,22,37,282,1,0,2,11,271,328,1,1,1,8,95,3,12,0,2,26:53:00,0,0,0,10,null,http://www.pro-football-reference.com/boxscores/201510180min.htm
MIN,16,35,84,0,17,31,249,1,2,2,12,237,321,1,0,2,5,50,6,17,1,1,33:07:00,3,7,3,3,null,http://www.pro-football-reference.com/boxscores/201510180min.htm
KAN,27,32,135,1,29,50,246,1,0,1,3,243,378,1,1,1,5,40,12,20,1,2,37:51:00,3,3,7,7,null,http://www.pro-football-reference.com/boxscores/201601160nwe.htm
NWE,21,14,38,1,28,42,302,2,0,0,0,302,340,0,0,0,6,24,6,12,0,0,22:09,7,7,7,6,null,http://www.pro-football-reference.com/boxscores/201601160nwe.htm
KAN,15,22,89,2,16,22,162,2,0,4,19,143,232,3,2,2,11,88,3,8,0,0,25:32:00,7,0,7,20,null,http://www.pro-football-reference.com/boxscores/201512060rai.htm
